Name #1,Name #2,Event,Type,Date (Year)
LBB,Ssynic,Kato vs Brian Damage,Rap Battle,2018
Sizyphos,Henrey,DLTLLY RapBattle (MAYhem3,Rap Battle,2018
Merlin,BX,DLTLLY RapBattle (Stuttgart),Rap Battle,2018
Pueblo Escobar + Morizz Fizzl,Schalle + Alcantara,DLTLLY OnBeatBattle (Stuttgart),On Beat,2018
Mikesh,Akanoo,DLTLLY RapBattle (Stuttgart),Rap Battle,2018
Bdad,Nikiz,DLTLLY OnBeatBattle (Stuttgart),On Beat,2018
Fabelouis,Farmer,DLTLLY RapBattle (Stuttgart),Rap Battle,2018
Proton,Robscure,DLTLLY RapBattle (NRWeekend2,Rap Battle,2018
Change,Tommy2Late,DLTLLY OnBeatBattle (Stuttgart),On Beat,2018
Kato,Mave,DLTLLY RapBattle (NRWeekend2,Rap Battle,2018
Buddi,VT,DLTLLY OnBeatBattle (NRWeekend2,On Beat,2018
Tuncmann,Wandelbarz,DLTLLY RapBattle (NRWeekend2,Rap Battle,2018
Wolff,NichtDeinTyp,DLTLLY NextGeneration VR 4/4 (Stuttgart),Rap Battle,2018
Karanova,OE,DLTLLY RapBattle (NRWeekend2,Rap Battle,2018
Ano-Nym,RenetiXX,DLTLLY NextGeneration VR 3/4 (NRWeekend2,Rap Battle,2018
Jolle,Joseph Steinschleuder,DLTLLY NextGeneration VR 2/4 (NRWeekend2,Rap Battle,2018
Duff,T-Way,DLTLLY RapBattle (NRWeekend2,Rap Battle,2018
Falk,Khacoby,DLTLLY ComplimentBattle (NRWeekend2,Rap Battle,2018
Wolff + Joe Pharo,Ilhan + TableddnTimmy,DLTLLY RapBattle (D&DL CoEvent 1,Rap Battle,2018
Wolle der Grobe,Jakzta,DLTLLY NextGeneration VR 1/4 (D&DL CoEvent 1,Rap Battle,2018
Galv,Schote,DLTLLY OnBeatBattle (Tapefabrik,On Beat,2018
Notyzze,LUX,DLTLLY OnBeatBattle (Tapefabrik,On Beat,2018
VT,Mars B.,DLTLLY RapBattle (Kassel),Rap Battle,2018
Davie Jones,Vyrus,DLTLLY RapBattle (Kassel),Rap Battle,2018
Olio,Kato,DLTLLY RapBattle (Kassel),Rap Battle,2018
Bauda,Seby Tone,DLTLLY RapBattle (Kassel),Rap Battle,2018
Krom,Wolff,DLTLLY RapBattle (Kassel),Rap Battle,2018
Schalle,Joe Pharo,DLTLLY RapBattle (Kassel),Rap Battle,2018
JollyJay,Brian Damage,DLTLLY Bilingual Battle (DISSember2,Rap Battle,2017
CLEP,Robscure,DLTLLY RapBattle (DISSember2,Rap Battle,2017
Karma,Mars B.,DLTLLY RapBattle (DISSember2,Rap Battle,2017
T-Way,VT,DLTLLY RapBattle (DISSember2,Rap Battle,2017
Jack Dragon,Hansen,DLTLLY RapBattle (DISSember2,Rap Battle,2017
